Ring,Tree,treatment,year,biomass_kg
1,102,eCO2,2019,119.4
1,103,eCO2,2019,270.7
1,105,eCO2,2019,219.5
1,106,eCO2,2019,98.2
1,107,eCO2,2019,84.6
1,108,eCO2,2019,108.9
1,109,eCO2,2019,744.6
1,110,eCO2,2019,106.2
1,111,eCO2,2019,490.8
1,112,eCO2,2019,198.6
1,113,eCO2,2019,150.8
1,114,eCO2,2019,114.9
1,116,eCO2,2019,487.6
1,117,eCO2,2019,396.1
1,118,eCO2,2019,196.3
1,119,eCO2,2019,277.7
1,120,eCO2,2019,145.1
1,121,eCO2,2019,98.6
1,122,eCO2,2019,440.5
1,123,eCO2,2019,131.3
2,201,aCO2,2019,145.1
2,202,aCO2,2019,249.9
2,203,aCO2,2019,296.3
2,205,aCO2,2019,196.7
2,207,aCO2,2019,338.4
2,208,aCO2,2019,250.4
2,209,aCO2,2019,1524.1
2,214,aCO2,2019,192.5
2,216,aCO2,2019,169.1
2,217,aCO2,2019,167
2,222,aCO2,2019,83.4
2,223,aCO2,2019,201.6
2,225,aCO2,2019,207.5
3,301,aCO2,2019,310.3
3,302,aCO2,2019,341.1
3,304,aCO2,2019,96
3,305,aCO2,2019,289.5
3,306,aCO2,2019,130.2
3,307,aCO2,2019,174.1
3,309,aCO2,2019,204.5
3,311,aCO2,2019,296.7
3,312,aCO2,2019,133.3
3,313,aCO2,2019,119.4
3,315,aCO2,2019,225.3
3,316,aCO2,2019,206.5
3,317,aCO2,2019,204.1
3,319,aCO2,2019,198.6
3,320,aCO2,2019,303.6
3,321,aCO2,2019,305.3
3,324,aCO2,2019,529
4,401,eCO2,2019,79.1
4,402,eCO2,2019,130.2
4,403,eCO2,2019,156.7
4,405,eCO2,2019,85.6
4,406,eCO2,2019,107.2
4,407,eCO2,2019,97.3
4,408,eCO2,2019,319.9
4,409,eCO2,2019,86.4
4,411,eCO2,2019,133.6
4,413,eCO2,2019,186.3
4,414,eCO2,2019,169.1
4,415,eCO2,2019,79.7
4,416,eCO2,2019,73
4,417,eCO2,2019,247.7
4,420,eCO2,2019,175.3
4,422,eCO2,2019,157.9
4,423,eCO2,2019,171.7
4,424,eCO2,2019,206.5
4,425,eCO2,2019,73
4,426,eCO2,2019,73.6
5,501,eCO2,2019,300.4
5,502,eCO2,2019,336.6
5,503,eCO2,2019,624.6
5,504,eCO2,2019,225.3
5,505,eCO2,2019,246
5,508,eCO2,2019,131
5,509,eCO2,2019,347.7
5,511,eCO2,2019,260
5,513,eCO2,2019,621.2
5,514,eCO2,2019,236.9
5,515,eCO2,2019,200.6
5,519,eCO2,2019,173.2
5,522,eCO2,2019,154.5
5,523,eCO2,2019,191
5,525,eCO2,2019,278.8
5,526,eCO2,2019,144.6
5,530,eCO2,2019,244.5
5,533,eCO2,2019,329.3
6,603,aCO2,2019,1401.6
6,607,aCO2,2019,879.9
6,610,aCO2,2019,240.6
6,612,aCO2,2019,407.1
6,613,aCO2,2019,128.7
6,614,aCO2,2019,503.3
6,618,aCO2,2019,162.6
6,620,aCO2,2019,176.8
6,621,aCO2,2019,65.6
1,102,eCO2,2021,120.9
1,103,eCO2,2021,270.4
1,105,eCO2,2021,216.1
1,106,eCO2,2021,93.4
1,107,eCO2,2021,84.8
1,108,eCO2,2021,109
1,109,eCO2,2021,737.6
1,110,eCO2,2021,106
1,111,eCO2,2021,510.5
1,112,eCO2,2021,191.2
1,113,eCO2,2021,145.4
1,114,eCO2,2021,113.2
1,116,eCO2,2021,484.7
1,117,eCO2,2021,391.8
1,118,eCO2,2021,194.2
1,119,eCO2,2021,301.9
1,120,eCO2,2021,138.7
1,121,eCO2,2021,94
1,122,eCO2,2021,446.6
1,123,eCO2,2021,130.2
2,201,aCO2,2021,155.7
2,202,aCO2,2021,255
2,203,aCO2,2021,295
2,205,aCO2,2021,195.2
2,207,aCO2,2021,340.3
2,208,aCO2,2021,248.8
2,209,aCO2,2021,1592
2,214,aCO2,2021,200.2
2,216,aCO2,2021,168.9
2,217,aCO2,2021,165.6
2,222,aCO2,2021,85.2
2,223,aCO2,2021,208.2
2,225,aCO2,2021,220.8
3,301,aCO2,2021,327.3
3,302,aCO2,2021,354.4
3,304,aCO2,2021,98.2
3,305,aCO2,2021,285
3,306,aCO2,2021,135
3,307,aCO2,2021,180.6
3,309,aCO2,2021,215.5
3,311,aCO2,2021,318.8
3,312,aCO2,2021,136.2
3,313,aCO2,2021,123.5
3,315,aCO2,2021,239.5
3,316,aCO2,2021,214.7
3,317,aCO2,2021,217.5
3,319,aCO2,2021,208
3,320,aCO2,2021,338.2
3,321,aCO2,2021,312
3,324,aCO2,2021,542.3
4,401,eCO2,2021,81
4,402,eCO2,2021,125.7
4,403,eCO2,2021,165.6
4,405,eCO2,2021,83.1
4,406,eCO2,2021,109
4,407,eCO2,2021,94.8
4,408,eCO2,2021,327.8
4,409,eCO2,2021,86.3
4,411,eCO2,2021,130.5
4,413,eCO2,2021,187.4
4,414,eCO2,2021,174.4
4,415,eCO2,2021,79.6
4,416,eCO2,2021,74.7
4,417,eCO2,2021,242.9
4,420,eCO2,2021,181.5
4,422,eCO2,2021,164.2
4,423,eCO2,2021,173.3
4,424,eCO2,2021,228.2
4,425,eCO2,2021,73
4,426,eCO2,2021,76.8
5,501,eCO2,2021,313
5,502,eCO2,2021,341.9
5,503,eCO2,2021,617.9
5,504,eCO2,2021,234.1
5,505,eCO2,2021,254.1
5,508,eCO2,2021,128.3
5,509,eCO2,2021,354.7
5,511,eCO2,2021,261.5
5,513,eCO2,2021,624.2
5,514,eCO2,2021,225.3
5,515,eCO2,2021,203.7
5,519,eCO2,2021,180.4
5,522,eCO2,2021,151.7
5,523,eCO2,2021,204.7
5,525,eCO2,2021,289.3
5,526,eCO2,2021,148.2
5,530,eCO2,2021,251.5
5,533,eCO2,2021,336.9
6,603,aCO2,2021,1421.2
6,607,aCO2,2021,891.3
6,610,aCO2,2021,247.9
6,612,aCO2,2021,411.8
6,613,aCO2,2021,130.4
6,614,aCO2,2021,504.6
6,618,aCO2,2021,165.9
6,620,aCO2,2021,183.7
6,621,aCO2,2021,NA
1,102,eCO2,2022,122.3
1,103,eCO2,2022,273.9
1,105,eCO2,2022,221.8
1,106,eCO2,2022,93.4
1,107,eCO2,2022,87.5
1,108,eCO2,2022,110
1,109,eCO2,2022,741.3
1,110,eCO2,2022,103.7
1,111,eCO2,2022,528.3
1,112,eCO2,2022,193.7
1,113,eCO2,2022,147.9
1,114,eCO2,2022,113.6
1,116,eCO2,2022,509.2
1,117,eCO2,2022,394.9
1,118,eCO2,2022,201
1,119,eCO2,2022,314.6
1,120,eCO2,2022,139.2
1,121,eCO2,2022,93
1,122,eCO2,2022,461.8
1,123,eCO2,2022,130.4
2,201,aCO2,2022,156.2
2,202,aCO2,2022,256.8
2,203,aCO2,2022,294.8
2,205,aCO2,2022,195
2,207,aCO2,2022,343.7
2,208,aCO2,2022,249.3
2,209,aCO2,2022,1629.8
2,214,aCO2,2022,202.1
2,216,aCO2,2022,169.3
2,217,aCO2,2022,163.2
2,222,aCO2,2022,85.2
2,223,aCO2,2022,207.8
2,225,aCO2,2022,221.4
3,301,aCO2,2022,334.5
3,302,aCO2,2022,357.9
3,304,aCO2,2022,97.2
3,305,aCO2,2022,285.2
3,306,aCO2,2022,134.7
3,307,aCO2,2022,183
3,309,aCO2,2022,215.9
3,311,aCO2,2022,309.5
3,312,aCO2,2022,135.6
3,313,aCO2,2022,124.5
3,315,aCO2,2022,241.6
3,316,aCO2,2022,216.1
3,317,aCO2,2022,218.3
3,319,aCO2,2022,210.4
3,320,aCO2,2022,343.4
3,321,aCO2,2022,317.6
3,324,aCO2,2022,562
4,401,eCO2,2022,83.4
4,402,eCO2,2022,126.2
4,403,eCO2,2022,177.1
4,405,eCO2,2022,83.4
4,406,eCO2,2022,109.4
4,407,eCO2,2022,94.5
4,408,eCO2,2022,339.8
4,409,eCO2,2022,88.5
4,411,eCO2,2022,131.9
4,413,eCO2,2022,188.7
4,414,eCO2,2022,174.6
4,415,eCO2,2022,79.7
4,416,eCO2,2022,75.2
4,417,eCO2,2022,244.2
4,420,eCO2,2022,184.6
4,422,eCO2,2022,166.6
4,423,eCO2,2022,176.4
4,424,eCO2,2022,239.3
4,425,eCO2,2022,74
4,426,eCO2,2022,77.7
5,501,eCO2,2022,318.8
5,502,eCO2,2022,348.8
5,503,eCO2,2022,616.8
5,504,eCO2,2022,239.5
5,505,eCO2,2022,255
5,508,eCO2,2022,129
5,509,eCO2,2022,350.9
5,511,eCO2,2022,264.3
5,513,eCO2,2022,623.5
5,514,eCO2,2022,225.5
5,515,eCO2,2022,202.7
5,519,eCO2,2022,183
5,522,eCO2,2022,152
5,523,eCO2,2022,206.5
5,525,eCO2,2022,296.3
5,526,eCO2,2022,148.9
5,530,eCO2,2022,252.4
5,533,eCO2,2022,341.6
6,603,aCO2,2022,1417.1
6,607,aCO2,2022,892.7
6,610,aCO2,2022,247.7
6,612,aCO2,2022,412.4
6,613,aCO2,2022,130.7
6,614,aCO2,2022,506.9
6,618,aCO2,2022,165.8
6,620,aCO2,2022,184.6
6,621,aCO2,2022,66
1,102,eCO2,2023,123.1
1,103,eCO2,2023,283.1
1,105,eCO2,2023,222.6
1,106,eCO2,2023,94.1
1,107,eCO2,2023,89.1
1,108,eCO2,2023,108.7
1,109,eCO2,2023,747
1,110,eCO2,2023,104.4
1,111,eCO2,2023,536.8
1,112,eCO2,2023,192.5
1,113,eCO2,2023,149
1,114,eCO2,2023,113.9
1,116,eCO2,2023,516.8
1,117,eCO2,2023,394.4
1,118,eCO2,2023,205.1
1,119,eCO2,2023,319.4
1,120,eCO2,2023,139.8
1,121,eCO2,2023,93.1
1,122,eCO2,2023,469.7
1,123,eCO2,2023,131.9
2,201,aCO2,2023,157
2,202,aCO2,2023,257
2,203,aCO2,2023,295.3
2,205,aCO2,2023,195.8
2,207,aCO2,2023,346.1
2,208,aCO2,2023,250.1
2,209,aCO2,2023,1662.9
2,214,aCO2,2023,202.5
2,216,aCO2,2023,169.8
2,217,aCO2,2023,162.1
2,222,aCO2,2023,85.7
2,223,aCO2,2023,209.4
2,225,aCO2,2023,222.4
3,301,aCO2,2023,344.8
3,302,aCO2,2023,367.2
3,304,aCO2,2023,97.5
3,305,aCO2,2023,287.6
3,306,aCO2,2023,135.9
3,307,aCO2,2023,185.9
3,309,aCO2,2023,218.1
3,311,aCO2,2023,318.1
3,312,aCO2,2023,135.8
3,313,aCO2,2023,127.7
3,315,aCO2,2023,247.7
3,316,aCO2,2023,217.5
3,317,aCO2,2023,219.7
3,319,aCO2,2023,216.7
3,320,aCO2,2023,349.3
3,321,aCO2,2023,326.2
3,324,aCO2,2023,586.9
4,401,eCO2,2023,85.6
4,402,eCO2,2023,127.2
4,403,eCO2,2023,179.1
4,405,eCO2,2023,83.7
4,406,eCO2,2023,111.9
4,407,eCO2,2023,94.5
4,408,eCO2,2023,346.9
4,409,eCO2,2023,88.9
4,411,eCO2,2023,132.5
4,413,eCO2,2023,189.3
4,414,eCO2,2023,175.3
4,415,eCO2,2023,79.8
4,416,eCO2,2023,76
4,417,eCO2,2023,246.2
4,420,eCO2,2023,185.6
4,422,eCO2,2023,168
4,423,eCO2,2023,178.6
4,424,eCO2,2023,248.2
4,425,eCO2,2023,75.7
4,426,eCO2,2023,78.1
5,501,eCO2,2023,320.6
5,502,eCO2,2023,353.6
5,503,eCO2,2023,615.3
5,504,eCO2,2023,241.6
5,505,eCO2,2023,257
5,508,eCO2,2023,129.5
5,509,eCO2,2023,352.5
5,511,eCO2,2023,267.9
5,513,eCO2,2023,622.7
5,514,eCO2,2023,227.4
5,515,eCO2,2023,203.7
5,519,eCO2,2023,184.5
5,522,eCO2,2023,153.3
5,523,eCO2,2023,207.6
5,525,eCO2,2023,297.2
5,526,eCO2,2023,149
5,530,eCO2,2023,254.4
5,533,eCO2,2023,341.9
6,603,aCO2,2023,1427.8
6,607,aCO2,2023,906.4
6,610,aCO2,2023,251.5
6,612,aCO2,2023,413.2
6,613,aCO2,2023,130.4
6,614,aCO2,2023,514.2
6,618,aCO2,2023,165.9
6,620,aCO2,2023,186.3
6,621,aCO2,2023,67.4
